model	split_type	r2_mean	r2_std	mae_mean	mae_std	rmse_mean	rmse_std	n_folds
Random Forest	random	0.47846602022707163	0.0038751109248940005	1.0613924399445755	0.013090077636558246	1.3565517808472	0.009496234347496624	5
LightGBM	random	0.49761447468220404	0.007497386997001107	1.0356021807674054	0.01164327488931102	1.331363201795029	0.009750034257854605	5
XGBoost	random	0.519973395059632	0.0030479379065602315	1.0041241221565351	0.01177636750272373	1.3014655174881011	0.010417722000896737	5
Random Forest	scaffold	0.3708842631097754	0.015269443636511707	1.1642610488049883	0.01707790907124865	1.4837317329314663	0.02151014726937271	5
LightGBM	scaffold	0.39452762288571924	0.011995667711303561	1.1357054360035062	0.02251467483374042	1.4557343545677743	0.02584339124455758	5
XGBoost	scaffold	0.40639454982129564	0.014218932250417898	1.1203881733465346	0.017815242576728896	1.4412982535665742	0.023460122941107584	5
