n	r2	r2_std	mae	mae_std	status	class	type
2660	0.5333232829851235	0.03745395672328735	0.9130427159686365	0.02819877097591233	success	transferase	protein
407	0.16666954507194295	0.16873275881966665	1.130224306263405	0.11545966626192034	success	transporter	protein
273	0.5475103409950396	0.05272604904299873	0.9935724399847257	0.04602252579912647	success	isomerase	protein
831	0.5661314306210293	0.12404337391320058	0.9510295858860441	0.07534021037666173	success	lyase	protein
133	0.39249245517974146	0.2516476856649681	1.0323782857225081	0.180968528214685	success	viral	protein
2080	0.592666445637658	0.02051920985335079	0.9617982067907725	0.03682897688993712	success	protease	protein
142	0.18590984288644052	0.28040187705849323	1.3331177810465753	0.21109527899077024	success	lectin	protein
411	0.5409676317950074	0.0917520725597125	0.984034546225147	0.08942162673439899	success	ligase	protein
553	0.3567970043678862	0.05740445929303643	1.0467971042273327	0.12015953760525107	success	oxidoreductase	protein
453	0.5053394277016638	0.023914543581492524	0.8804759236247787	0.07515495394949948	success	transcription	protein
3090	0.5126724587859368	0.023750991018259178	1.0469842055030383	0.022073371388762156	success	hydrolase	protein
2689	0.4758589708320703	0.011416956086197833	0.8398045610001686	0.020513350176428764	success	kinase	protein
454	0.4976303597471645	0.04947923927577244	0.8855378275039166	0.05830375345515786	success	signaling	protein
76	0.41930171381298187	0.15351459246182292	0.9921665698907576	0.16785129529143644	success	hormone	protein
142	0.1548846820549883	0.1472358027065276	1.3202246340018768	0.10021953204375443	success	antibody	protein
631	0.4075615656106466	0.08130091368302982	1.1790396913785175	0.08761061109811438	success	other	protein
133	0.4048528549249948	0.15634830824871623	0.7929858728539582	0.09532624075583512	success	phosphatase	protein
22	0.5498905046591279	0.43442085403136005	0.8546299333333331	0.26544706152297926	success	toxin	protein
167	0.28472872767117147	0.06624246997667599	1.0271771802763836	0.04294055764405693	success	membrane_protein	protein
20	-0.07342554115412106	0.7666162350767696	1.3363850000000004	0.3149734963453276	success	unknown	protein
35	0.15982853495909236	0.31820052822269645	0.8227888843537411	0.1771486911271875	success	transcription_factor	protein
288	0.5337233238538961	0.11407328204400576	0.8365378082846868	0.09712484265291352	success	chaperone	protein
87	0.24244908407133997	0.3300522250373201	0.8930240985060702	0.14133002993986638	success	immune	protein
52	0.15915528445618435	0.10327041973548406	0.9435394350649352	0.13004148258695494	success	structural	protein
58	0.1964917237760231	0.23110434728338325	1.2801393943001436	0.21314242015163778	success	ion_channel	protein
95	0.30597006248989195	0.4532211988773484	0.9039396240601505	0.18905694755175387	success	apoptosis	protein
285	0.38070495423607226	0.08738211884825278	0.9669421741981218	0.0882231549524712	success	nuclear_receptor	protein
35	-0.3172600991547988	0.5990905362321054	1.1061986190476198	0.23564076303986226	success	polymerase	protein
95	0.1873552215093937	0.21095192756340628	0.9783184586466159	0.15001935227821986	success	cell_cycle	protein
27	-1.78673730601878	1.6341989108934254	0.9638646666666665	0.5699658799051054	success	bacterial	protein
88	-0.04038235826863048	0.3980439576790319	0.7873837351384988	0.1592511621934747	success	gpcr	protein
1795	0.19272620101117113	0.031248548676508142	1.1539435058323788	0.07337258821426727	success	fragment	size
5277	0.3710542503037456	0.021912021574034234	1.092656190504695	0.009556753548231683	success	small_molecule	size
3233	0.4738572703863121	0.015251928005199658	0.9656453357463521	0.029956382846768846	success	large_molecule	size
6108	0.3468081580082344	0.013199855988702247	0.9675229311499214	0.02903405309336241	success	medium_molecule	size
149	0.35770730674036927	0.13614956389552363	0.937981034831115	0.06212901193922451	success	macromolecule	size
927	0.2973190753480778	0.04443749657096029	1.1752726309454038	0.020703055313354455	success	acyclic	ring
6264	0.4801398912565998	0.01646551801215824	1.0033039082678377	0.016552734432180242	success	fully_aromatic	ring
1273	0.37933090914481077	0.024971177596007522	1.2546210402000422	0.051553338047199096	success	alicyclic	ring
8098	0.5008414284801856	0.02151535989561859	0.9683235338117256	0.024411745270468275	success	mixed_rings	ring
11313	0.4769994276769555	0.02052212789356946	1.0349197236866061	0.01870692424237613	success	Drug-like	drug_like
5249	0.4735088300873075	0.03474291390872217	0.9950788226856904	0.016796263739193483	success	Non-drug-like	drug_like
